,geometry,ev_stations_counts,ev_stations_geometries,parking_counts,restaurant_counts,library_counts,university_counts,school_counts,park_counts,cinema_counts,place_of_worship_counts,retail_counts,commercial,nodes,edges,road_density,pop_density
0,"POLYGON ((2.224122 48.854199, 2.224158 48.854615, 2.224257 48.855241, 2.224317 48.85555, 2.224371 48.85581, 2.224466 48.856232, 2.224579 48.856632, 2.224789 48.857329, 2.224877 48.857605, 2.225001 48.85798, 2.225056 48.858124, 2.225116 48.858268, 2.22523 48.858519, 2.225286 48.858627, 2.22543 48.858914, 2.2257078 48.8594357, 2.2264045 48.8609577, 2.226905 48.8617931, 2.2272919 48.8625733, 2.22770203977798 48.86367577777778, 2.233947528 48.86367577777778, 2.233947528 48.85405572222222, 2.224124401303538 48.85405572222222, 2.224122 48.854199))",0,[],8,1,0,0,0,0,0,0,0,0,7,11,0.2619047619047619,36.21250240806007
1,"POLYGON ((2.22770203977798 48.86367577777778, 2.2279465 48.8643329, 2.2282436 48.8651445, 2.2284251 48.8654293, 2.2286521 48.8657664, 2.2294749 48.8667271, 2.2295817 48.8668473, 2.2303701 48.8677341, 2.2312283 48.8686235, 2.2320761 48.8695071, 2.2328437 48.8697546, 2.233947528 48.8700614172126, 2.233947528 48.86367577777778, 2.22770203977798 48.86367577777778))",0,[],0,1,0,0,0,0,0,0,0,0,3,3,0.5,36.21250240806007
2,"POLYGON ((2.233947528 48.85405572222222, 2.233947528 48.85128849677443, 2.2263608 48.8529593, 2.2255596 48.8531357, 2.2241686 48.853442, 2.2241606 48.8534778, 2.224143 48.853578, 2.224135 48.853654, 2.224129 48.853759, 2.224125 48.853869, 2.224125 48.85402, 2.224124401303538 48.85405572222222, 2.233947528 48.85405572222222))",0,[],0,0,0,0,0,0,0,0,0,0,0,0,0.0,36.21250240806007
3,"POLYGON ((2.233947528 48.8700614172126, 2.2340187 48.8700812, 2.2373729 48.8710133, 2.2396721 48.8715756, 2.2401155 48.8717175, 2.2404626 48.8718878, 2.2410477 48.8722768, 2.2423216293887602 48.87329583333333, 2.2437730559999998 48.87329583333333, 2.2437730559999998 48.86367577777778, 2.233947528 48.86367577777778, 2.233947528 48.8700614172126))",0,[],1,1,0,0,0,0,0,0,0,0,20,28,0.07368421052631578,36.21250240806007
4,"POLYGON ((2.2423216293887602 48.87329583333333, 2.2433602 48.8741266, 2.2437730559999998 48.87453489425687, 2.2437730559999998 48.87329583333333, 2.2423216293887602 48.87329583333333))",0,[],0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,"POLYGON ((2.2437730559999998 48.86367577777778, 2.2437730559999998 48.85405572222222, 2.233947528 48.85405572222222, 2.233947528 48.86367577777778, 2.2437730559999998 48.86367577777778))",0,[],1,2,0,0,0,0,0,0,0,0,13,20,0.1282051282051282,36.212502408060075
6,"POLYGON ((2.2437730559999998 48.85405572222222, 2.2437730559999998 48.8473967797043, 2.2430008 48.8475951, 2.2424666 48.847731, 2.242352 48.8478301, 2.2420889 48.848059, 2.2415952 48.8484903, 2.2415171 48.8485577, 2.2415047 48.8485684, 2.2414249 48.8486374, 2.2403097 48.8496004, 2.2401177 48.8497483, 2.2399504 48.8498536, 2.2396971 48.8499782, 2.2395581 48.8500379, 2.2393245 48.850107, 2.239084 48.8501602, 2.2381442 48.8503673, 2.2377999 48.8504401, 2.233947528 48.85128849677443, 2.233947528 48.85405572222222, 2.2437730559999998 48.85405572222222))",0,[],0,1,0,0,0,0,0,0,0,0,8,9,0.16071428571428573,35.168863133584
7,"POLYGON ((2.2437730559999998 48.87453489425687, 2.2456228 48.8763642, 2.2460058 48.8762821, 2.2476142 48.8758711, 2.2495862 48.8753761, 2.253598584 48.874381963126204, 2.253598584 48.87329583333333, 2.2437730559999998 48.87329583333333, 2.2437730559999998 48.87453489425687))",0,[],0,0,0,0,0,0,0,0,0,0,18,30,0.09803921568627451,36.21250240806007
8,"POLYGON ((2.253598584 48.87329583333333, 2.253598584 48.86367577777778, 2.2437730559999998 48.86367577777778, 2.2437730559999998 48.87329583333333, 2.253598584 48.87329583333333))",0,[],1,3,0,0,0,0,0,0,0,0,8,14,0.25,36.212502408060075
9,"POLYGON ((2.253598584 48.86367577777778, 2.253598584 48.85405572222222, 2.2437730559999998 48.85405572222222, 2.2437730559999998 48.86367577777778, 2.253598584 48.86367577777778))",0,[],1,0,0,0,0,0,0,0,0,0,4,6,0.5,36.212502408060075
