carre_id,t_1h,moyenne_k,somme_k,count_k
0_16,2020-01-01 01:00:00,0.65,1.3,2
0_16,2020-01-01 02:00:00,0.725,1.45,2
0_16,2020-01-01 03:00:00,0.925,1.85,2
0_16,2020-01-01 04:00:00,1.125,2.25,2
0_16,2020-01-01 05:00:00,0.825,1.65,2
0_16,2020-01-01 06:00:00,0.875,1.75,2
0_16,2020-01-01 07:00:00,0.725,1.45,2
0_16,2020-01-01 08:00:00,0.475,0.95,2
0_16,2020-01-01 09:00:00,0.475,0.95,2
0_16,2020-01-01 10:00:00,0.7,1.4,2
0_16,2020-01-01 11:00:00,0.9,1.8,2
0_16,2020-01-01 12:00:00,1.5,3.0,2
0_16,2020-01-01 13:00:00,2.025,4.05,2
0_16,2020-01-01 14:00:00,2.1,4.2,2
0_16,2020-01-01 15:00:00,2.425,4.85,2
0_16,2020-01-01 16:00:00,3.65,7.3,2
0_16,2020-01-01 17:00:00,9.3,18.6,2
0_16,2020-01-01 18:00:00,0.0,0.0,2
0_16,2020-01-01 19:00:00,9.05,18.1,2
0_16,2020-01-01 20:00:00,2.75,5.5,2
0_16,2020-01-01 21:00:00,2.725,5.45,2
0_16,2020-01-01 22:00:00,2.15,4.3,2
0_16,2020-01-01 23:00:00,1.65,3.3,2
0_16,2020-01-02 00:00:00,1.35,2.7,2
0_16,2020-01-02 01:00:00,0.75,1.5,2
0_16,2020-01-02 02:00:00,0.15,0.3,2
0_16,2020-01-02 03:00:00,0.075,0.15,2
0_16,2020-01-02 04:00:00,0.125,0.25,2
0_16,2020-01-02 05:00:00,0.5,1.0,2
0_16,2020-01-02 06:00:00,2.675,5.35,2
0_16,2020-01-02 07:00:00,3.4,6.8,2
0_16,2020-01-02 08:00:00,2.45,4.9,2
0_16,2020-01-02 09:00:00,2.025,4.05,2
0_16,2020-01-02 10:00:00,2.325,4.65,2
0_16,2020-01-02 11:00:00,2.35,4.7,2
0_16,2020-01-02 12:00:00,3.075,6.15,2
0_16,2020-01-02 13:00:00,3.175,6.35,2
0_16,2020-01-02 14:00:00,2.95,5.9,2
0_16,2020-01-02 15:00:00,5.45,10.9,2
0_16,2020-01-02 16:00:00,3.025,6.05,2
0_16,2020-01-02 17:00:00,7.55,15.1,2
0_16,2020-01-02 18:00:00,0.0,0.0,2
0_16,2020-01-02 19:00:00,6.875,13.75,2
0_16,2020-01-02 20:00:00,9.65,19.3,2
0_16,2020-01-02 21:00:00,2.775,5.55,2
0_16,2020-01-02 22:00:00,1.925,3.85,2
0_16,2020-01-02 23:00:00,1.4,2.8,2
0_16,2020-01-03 00:00:00,1.3,2.6,2
0_16,2020-01-03 01:00:00,0.675,1.35,2
0_16,2020-01-03 02:00:00,0.2,0.4,2
0_16,2020-01-03 03:00:00,0.15,0.3,2
0_16,2020-01-03 04:00:00,0.125,0.25,2
0_16,2020-01-03 05:00:00,0.75,1.5,2
0_16,2020-01-03 06:00:00,2.725,5.45,2
0_16,2020-01-03 07:00:00,3.8,7.6,2
0_16,2020-01-03 08:00:00,5.6,11.2,2
0_16,2020-01-03 09:00:00,6.475,12.95,2
0_16,2020-01-03 10:00:00,6.95,13.9,2
0_16,2020-01-03 11:00:00,8.0,16.0,2
0_16,2020-01-03 12:00:00,4.85,9.7,2
0_16,2020-01-03 13:00:00,2.75,5.5,2
0_16,2020-01-03 14:00:00,4.9,9.8,2
0_16,2020-01-03 15:00:00,5.9,11.8,2
0_16,2020-01-03 16:00:00,7.575,15.15,2
0_16,2020-01-03 17:00:00,5.45,10.9,2
0_16,2020-01-03 18:00:00,6.95,13.9,2
0_16,2020-01-03 19:00:00,2.55,5.1,2
0_16,2020-01-03 20:00:00,2.575,5.15,2
0_16,2020-01-03 21:00:00,2.3,4.6,2
0_16,2020-01-03 22:00:00,2.1,4.2,2
0_16,2020-01-03 23:00:00,1.975,3.95,2
0_16,2020-01-04 00:00:00,1.625,3.25,2
0_16,2020-01-04 01:00:00,1.425,2.85,2
0_16,2020-01-04 02:00:00,0.525,1.05,2
0_16,2020-01-04 03:00:00,0.375,0.75,2
0_16,2020-01-04 04:00:00,0.25,0.5,2
0_16,2020-01-04 05:00:00,0.775,1.55,2
0_16,2020-01-04 06:00:00,1.5,3.0,2
0_16,2020-01-04 07:00:00,1.575,3.15,2
0_16,2020-01-04 08:00:00,1.575,3.15,2
0_16,2020-01-04 09:00:00,2.1,4.2,2
0_16,2020-01-04 10:00:00,2.225,4.45,2
0_16,2020-01-04 11:00:00,2.675,5.35,2
0_16,2020-01-04 12:00:00,2.675,5.35,2
0_16,2020-01-04 13:00:00,5.45,10.9,2
0_16,2020-01-04 14:00:00,6.2,12.4,2
0_16,2020-01-04 15:00:00,10.5,21.0,2
0_16,2020-01-04 16:00:00,12.175,24.35,2
0_16,2020-01-04 17:00:00,10.175,20.35,2
0_16,2020-01-04 18:00:00,9.875,19.75,2
0_16,2020-01-04 19:00:00,11.0,22.0,2
0_16,2020-01-04 20:00:00,14.4,28.8,2
0_16,2020-01-04 21:00:00,0.0,0.0,2
0_16,2020-01-04 22:00:00,0.0,0.0,2
0_16,2020-01-04 23:00:00,2.325,4.65,2
0_16,2020-01-05 00:00:00,1.85,3.7,2
0_16,2020-01-05 01:00:00,1.35,2.7,2
